Timestamp,Sleep stage
1737381732,Deep
1737381762,Deep
1737381792,Deep
1737381822,Deep
1737381852,Deep
1737381882,Deep
1737381912,Deep
1737381942,Deep
1737381972,Deep
1737382002,Deep
1737382032,Deep
1737382062,Deep
1737382092,Deep
1737382122,Deep
1737382152,Deep
1737382182,Deep
1737382212,Deep
1737382242,Deep
1737382272,Deep
1737382302,Deep
1737382332,Deep
1737382362,Deep
1737382392,Deep
1737382422,Light
1737382452,Light
1737382482,Light
1737382512,Light
1737382542,Light
1737382572,Light
1737382602,Light
1737382632,Light
1737382662,Light
1737382692,Light
1737382722,Light
1737382752,Light
1737382782,Light
1737382812,Light
1737382842,Light
1737382872,Light
1737382902,Light
1737382932,Light
1737382962,Light
1737382992,Light
1737383022,REM
1737383052,REM
1737383082,REM
1737383112,REM
1737383142,REM
1737383172,REM
1737383202,REM
1737383232,REM
1737383262,REM
1737383292,REM
1737383322,REM
1737383352,REM
1737383382,REM
1737383412,REM
1737383442,REM
1737383472,REM
1737383502,REM
1737383532,REM
1737383562,REM
1737383592,REM
1737383622,REM
1737383652,REM
1737383682,REM
1737383712,REM
1737383742,REM
1737383772,REM
1737383802,REM
1737383832,REM
1737383862,REM
1737383892,REM
1737383922,REM
1737383952,REM
1737383982,REM
1737384012,REM
1737384042,REM
1737384072,REM
1737384102,REM
1737384132,REM
1737384162,REM
1737384192,REM
1737384222,REM
1737384252,REM
1737384282,REM
1737384312,REM
1737384342,REM
1737384372,REM
1737384402,REM
1737384432,REM
1737384462,REM
1737384492,REM
1737384522,REM
1737384552,REM
1737384582,REM
1737384612,REM
1737384642,REM
1737384672,REM
1737384702,REM
1737384732,REM
1737384762,REM
1737384792,REM
1737384822,REM
1737384852,REM
1737384882,REM
1737384912,REM
1737384942,REM
1737384972,REM
1737385002,REM
1737385032,REM
1737385062,REM
1737385092,REM
1737385122,REM
1737385152,REM
1737385182,REM
1737385212,REM
1737385242,REM
1737385272,REM
1737385302,REM
1737385332,REM
1737385362,REM
1737385392,Wake
1737385422,Wake
1737385452,Wake
1737385482,Wake
1737385512,Wake
1737385542,Light
1737385572,Light
1737385602,Light
1737385632,Light
1737385662,Light
1737385692,Light
1737385722,Light
1737385752,Wake
1737385782,Wake
1737385812,Wake
1737385842,Wake
1737385872,Wake
1737385902,Wake
1737385932,Wake
1737385962,Wake
1737385992,Wake
1737386022,Wake
1737386052,Wake
1737386082,Light
1737386112,Light
1737386142,Light
1737386172,Light
1737386202,Light
1737386232,Light
1737386262,Light
1737386292,Light
1737386322,Light
1737386352,Light
1737386382,Light
1737386412,Light
1737386442,Light
1737386472,Light
1737386502,Light
1737386532,Light
1737386562,Light
1737386592,Light
1737386622,Light
1737386652,Light
1737386682,Light
1737386712,Light
1737386742,Light
1737386772,Light
1737386802,Light
1737386832,Light
1737386862,Light
1737386892,Light
1737386922,Light
1737386952,Light
1737386982,Light
1737387012,Light
1737387042,Light
1737387072,Light
1737387102,Light
1737387132,Light
1737387162,Light
1737387192,Light
1737387222,Light
1737387252,Light
1737387282,Light
1737387312,Light
1737387342,Light
1737387372,Light
1737387402,Light
1737387432,Light
1737387462,Light
1737387492,Light
1737387522,Light
1737387552,Light
1737387582,Light
1737387612,Light
1737387642,Light
1737387672,Light
1737387702,Light
1737387732,Light
1737387762,Light
1737387792,Light
1737387822,Light
1737387852,Light
1737387882,Light
1737387912,Light
1737387942,Light
1737387972,Light
1737388002,Light
1737388032,Light
1737388062,Light
1737388092,Light
1737388122,Light
1737388152,Light
1737388182,Light
1737388212,Light
1737388242,Light
1737388272,Light
1737388302,Light
1737388332,Light
1737388362,Light
1737388392,Light
1737388422,Light
1737388452,Light
1737388482,Light
1737388512,Light
1737388542,Light
1737388572,Light
1737388602,Light
1737388632,Light
1737388662,Light
1737388692,Light
1737388722,Light
1737388752,Light
1737388782,Light
1737388812,Light
1737388842,Light
1737388872,Light
1737388902,Light
1737388932,Light
1737388962,Light
1737388992,Light
