Epoch,Time_Hours,Ground_Truth_REM,YASA_Pred_REM_Original,YASA_Pred_REM_Optimized,REM_Probability,Above_Optimal_Threshold
36,0.3,0,0,0,0.018547908770926616,0
37,0.30833333333333335,0,0,0,0.009669838738327167,0
38,0.31666666666666665,0,0,0,0.012156370771473432,0
39,0.325,0,0,0,0.005453038272010907,0
40,0.3333333333333333,0,0,0,0.008384135988007971,0
41,0.3416666666666667,0,0,0,0.0033016916559055376,0
42,0.35,0,0,0,0.0038583644028198152,0
43,0.35833333333333334,0,0,0,0.001489227133891547,0
44,0.36666666666666664,0,0,0,0.00586717503558016,0
45,0.375,0,0,0,0.0051175630356982485,0
46,0.38333333333333336,0,0,0,0.006377934043256407,0
47,0.39166666666666666,0,0,0,0.002702083289424266,0
48,0.4,0,0,0,0.00931393305318835,0
49,0.4083333333333333,0,0,0,0.009095792998209586,0
50,0.4166666666666667,0,0,0,0.004913531147219234,0
51,0.425,0,0,0,0.007928889621668461,0
52,0.43333333333333335,0,0,0,0.008588625298883419,0
53,0.44166666666666665,0,0,0,0.0035139129959355533,0
54,0.45,0,0,0,0.011300429023707249,0
55,0.4583333333333333,0,0,0,0.003221002024073921,0
56,0.4666666666666667,0,0,0,0.004647898223325051,0
57,0.475,0,0,0,0.004426407560762436,0
58,0.48333333333333334,0,0,0,0.005621162735835727,0
59,0.49166666666666664,0,0,0,0.004032441050395742,0
60,0.5,0,0,0,0.006092335461123409,0
61,0.5083333333333333,0,0,0,0.0035553787712771096,0
62,0.5166666666666667,0,0,0,0.00563763823470369,0
63,0.525,0,0,0,0.008185616199031654,0
64,0.5333333333333333,0,0,0,0.007207092589835607,0
65,0.5416666666666666,0,0,0,0.0017537373040501685,0
66,0.55,0,0,0,0.005299006728682349,0
67,0.5583333333333333,0,0,0,0.004245822338992867,0
68,0.5666666666666667,0,0,0,0.012238454959031218,0
69,0.575,0,0,0,0.005715724919558492,0
70,0.5833333333333334,0,0,0,0.003641251478256997,0
71,0.5916666666666667,0,0,0,0.013444981956440864,0
72,0.6,0,0,0,0.017872395595602143,0
73,0.6083333333333333,0,0,0,0.01321938795879792,0
74,0.6166666666666667,0,0,0,0.016742747077199648,0
75,0.625,0,0,0,0.017876858035237257,0
76,0.6333333333333333,0,0,0,0.009402590992974694,0
77,0.6416666666666667,0,0,0,0.004644111329256309,0
78,0.65,0,0,0,0.00400313191414167,0
79,0.6583333333333333,0,0,0,0.001780328850116216,0
80,0.6666666666666666,0,0,0,0.010451640852943795,0
81,0.675,0,0,0,0.0027804974526507114,0
82,0.6833333333333333,0,0,0,0.0027904740708400693,0
83,0.6916666666666667,0,0,0,0.0017235095264179416,0
84,0.7,0,0,0,0.00155124417416091,0
85,0.7083333333333334,0,0,0,0.004174226599507963,0
86,0.7166666666666667,0,0,0,0.0020022860391928007,0
87,0.725,0,0,0,0.006345686928489267,0
88,0.7333333333333333,0,0,0,0.004847487129973356,0
89,0.7416666666666667,0,0,0,0.008198796446225015,0
90,0.75,0,0,0,0.015995254901442647,0
91,0.7583333333333333,0,0,0,0.005025457637161036,0
92,0.7666666666666667,0,0,0,0.013662901507488145,0
93,0.775,0,0,0,0.017246450383176404,0
94,0.7833333333333333,0,0,0,0.006566467511390197,0
95,0.7916666666666666,0,0,0,0.015280216874148194,0
96,0.8,0,0,0,0.015113764471832896,0
97,0.8083333333333333,0,0,0,0.005164298452287079,0
98,0.8166666666666667,0,0,0,0.008634499003900446,0
99,0.825,0,0,0,0.0036924961849563323,0
100,0.8333333333333334,0,0,0,0.006752231396734645,0
101,0.8416666666666667,0,0,0,0.004882383580013891,0
102,0.85,0,0,0,0.004869361610428711,0
103,0.8583333333333333,0,0,0,0.004044369825219577,0
104,0.8666666666666667,0,0,0,0.0034038220609666973,0
105,0.875,0,0,0,0.005780006580192925,0
106,0.8833333333333333,0,0,0,0.0037518042397447406,0
107,0.8916666666666667,0,0,0,0.004140345163350918,0
108,0.9,0,0,0,0.0018062114559685074,0
109,0.9083333333333333,0,0,0,0.0015916339546072024,0
110,0.9166666666666666,0,0,0,0.005124212729016909,0
111,0.925,0,0,0,0.0013076366778785552,0
112,0.9333333333333333,0,0,0,0.002483448257635704,0
113,0.9416666666666667,0,0,0,0.001143687246520351,0
114,0.95,0,0,0,0.0008281270957609397,0
115,0.9583333333333334,0,0,0,0.0007545359611838282,0
116,0.9666666666666667,0,0,0,0.001354619056588473,0
117,0.975,0,0,0,0.0006160904887977664,0
