night,total_epochs,duration_hours,rem_epochs_total,rem_episodes_count,rem_percentage,roc_auc,pr_auc,optimal_threshold,original_accuracy,optimized_accuracy,precision,recall,specificity,f1_score,true_positives,false_positives,true_negatives,false_negatives,mean_rem_probability,rem_prob_when_true,rem_prob_when_false,yasa_rem_predicted,yasa_rem_optimized
11,774,6.45,86,5,11.11111111111111,0.9044922931314224,0.4562881846973056,0.22358697852688098,0.8165374677002584,0.7958656330749354,0.3448275862068966,0.9302325581395349,0.7790697674418605,0.5031446540880503,80,152,536,6,0.24714111954880935,0.7944552130318615,0.17872685786342785,208,232
12,809,6.741666666666666,145,4,17.92336217552534,0.7389385126713752,0.3014744829102968,0.1647284868697011,0.7676143386897404,0.7713226205191595,0.41452991452991456,0.6689655172413793,0.7936746987951807,0.5118733509234829,97,137,527,48,0.226889068849903,0.44077854601714095,0.180181276396214,197,234
13,899,7.491666666666666,107,8,11.902113459399333,0.6958014726706315,0.19830155210892966,0.006651590823221396,0.6885428253615128,0.5728587319243604,0.19426048565121412,0.822429906542056,0.5391414141414141,0.3142857142857143,88,365,427,19,0.22366384721186433,0.3528329078708036,0.206212976643043,273,453
14,900,7.5,4,1,0.4444444444444444,0.6749441964285714,0.0063774221771803795,0.03546496223683364,0.8466666666666667,0.6188888888888889,0.011527377521613832,1.0,0.6171875,0.02279202279202279,4,343,553,0,0.1408036655214863,0.07135314715558813,0.14111371247847693,134,347
15,948,7.9,118,7,12.447257383966246,0.9008678782928323,0.428319912175909,0.462513739583428,0.8248945147679325,0.8343881856540084,0.4235294117647059,0.9152542372881356,0.8228915662650602,0.5790884718498659,108,147,683,10,0.24048777871766572,0.772779521950302,0.16481256702917044,266,255
16,1064,8.866666666666667,131,9,12.31203007518797,0.9204241427554551,0.573976529271258,0.08754428961216737,0.8073308270676691,0.7593984962406015,0.3385012919896641,1.0,0.7256162915326902,0.5057915057915058,131,256,677,0,0.2239153999050259,0.7160579037668607,0.1548150054721209,312,387
17,742,6.183333333333334,133,3,17.92452830188679,0.9399977776954702,0.8272839889703695,0.13143047738777291,0.9123989218328841,0.9056603773584906,0.7006369426751592,0.8270676691729323,0.922824302134647,0.7586206896551724,110,47,562,23,0.11201194296961718,0.4386542131426683,0.04067627477090487,78,157
18,636,5.3,128,2,20.125786163522015,0.8497785433070866,0.5035026899251434,0.010012688359224307,0.800314465408805,0.6918238993710691,0.3924050632911392,0.96875,0.6220472440944882,0.5585585585585585,124,192,316,4,0.16532965077461653,0.39244885338756,0.10810276507686699,153,316
19,975,8.125,239,9,24.512820512820515,0.9403310896852829,0.8256870122292688,0.15047922897418278,0.8912820512820513,0.8676923076923077,0.6687116564417178,0.9121338912133892,0.8532608695652174,0.7716814159292035,218,108,628,21,0.18967978611356115,0.5545164423827563,0.07120701322179804,255,326
20,895,7.458333333333333,205,5,22.905027932960895,0.9525698126546482,0.8390302256878417,0.19259074509580196,0.8871508379888268,0.8972067039106145,0.7164750957854407,0.9121951219512195,0.8927536231884058,0.8025751072961373,187,74,616,18,0.16411556386335277,0.5101037723226574,0.06132196569790718,188,261
