night,target_fpr,threshold_value,actual_fpr,tpr_recall,precision,specificity,accuracy,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_rem_epochs,total_non_rem_epochs,predicted_rem_epochs
13,FPR_5,0.7786232768095845,0.07196969696969698,0.18691588785046728,0.2597402597402597,0.928030303030303,0.8398220244716351,0.21739130434782605,20,57,735,87,107,792,77
14,FPR_10,0.5449389799555953,0.10714285714285714,0.0,0.0,0.8928571428571429,0.8888888888888888,0.0,0,96,800,4,4,896,96
14,FPR_5,0.7786232768095845,0.05357142857142857,0.0,0.0,0.9464285714285714,0.9422222222222222,0.0,0,48,848,4,4,896,48
15,FPR_10,0.5449389799555953,0.16987951807228915,0.8728813559322034,0.42213114754098363,0.8301204819277108,0.8354430379746836,0.5690607734806631,103,141,689,15,118,830,244
15,FPR_5,0.7786232768095845,0.11686746987951807,0.7033898305084746,0.46111111111111114,0.8831325301204819,0.8607594936708861,0.5570469798657718,83,97,733,35,118,830,180
16,FPR_10,0.5449389799555953,0.14362272240085744,0.8091603053435115,0.44166666666666665,0.8563772775991425,0.8505639097744361,0.5714285714285715,106,134,799,25,131,933,240
16,FPR_5,0.7786232768095845,0.06216505894962487,0.48091603053435117,0.5206611570247934,0.9378349410503751,0.881578947368421,0.5,63,58,875,68,131,933,121
17,FPR_10,0.5449389799555953,0.006568144499178982,0.39097744360902253,0.9285714285714286,0.993431855500821,0.8854447439353099,0.5502645502645502,52,4,605,81,133,609,56
17,FPR_5,0.7786232768095845,0.0016420361247947454,0.13533834586466165,0.9473684210526315,0.9983579638752053,0.8436657681940701,0.23684210526315788,18,1,608,115,133,609,19
18,FPR_10,0.5449389799555953,0.08464566929133858,0.3515625,0.5113636363636364,0.9153543307086615,0.8018867924528302,0.4166666666666667,45,43,465,83,128,508,88
18,FPR_5,0.7786232768095845,0.011811023622047244,0.078125,0.625,0.9881889763779528,0.8050314465408805,0.1388888888888889,10,6,502,118,128,508,16
19,FPR_10,0.5449389799555953,0.02717391304347826,0.5355648535564853,0.8648648648648649,0.9728260869565217,0.8656410256410256,0.6614987080103358,128,20,716,111,239,736,148
19,FPR_5,0.7786232768095845,0.008152173913043478,0.200836820083682,0.8888888888888888,0.9918478260869565,0.7979487179487179,0.32764505119453924,48,6,730,191,239,736,54
20,FPR_10,0.5449389799555953,0.020289855072463767,0.3951219512195122,0.8526315789473684,0.9797101449275363,0.8458100558659218,0.54,81,14,676,124,205,690,95
20,FPR_5,0.7786232768095845,0.0,0.17073170731707318,1.0,1.0,0.8100558659217877,0.2916666666666667,35,0,690,170,205,690,35
