night,threshold_name,threshold_value,accuracy,precision,recall,specificity,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_rem_epochs,predicted_rem_epochs,total_epochs
16,70% Confidence,0.4382,0.8308270676691729,0.4128113879003559,0.8854961832061069,0.8231511254019293,0.5631067961165048,116,165,768,15,131,281,1064
16,80% Confidence,0.6131,0.8721804511278195,0.4873096446700508,0.732824427480916,0.8917470525187567,0.5853658536585367,96,101,832,35,131,197,1064
17,70% Confidence,0.4382,0.9043126684636119,0.9428571428571428,0.49624060150375937,0.993431855500821,0.6502463054187193,66,4,605,67,133,70,742
17,80% Confidence,0.6131,0.8746630727762803,0.9166666666666666,0.3308270676691729,0.993431855500821,0.4861878453038673,44,4,605,89,133,48,742
18,70% Confidence,0.4382,0.7987421383647799,0.5,0.4921875,0.8759842519685039,0.49606299212598426,63,63,445,65,128,126,636
18,80% Confidence,0.6131,0.8066037735849056,0.5454545454545454,0.234375,0.9507874015748031,0.3278688524590164,30,25,483,98,128,55,636
19,70% Confidence,0.4382,0.88,0.7932692307692307,0.6903765690376569,0.9415760869565217,0.738255033557047,165,43,693,74,239,208,975
19,80% Confidence,0.6131,0.8553846153846154,0.8828125,0.47280334728033474,0.9796195652173914,0.6158038147138964,113,15,721,126,239,128,975
20,70% Confidence,0.4382,0.8782122905027933,0.8157894736842105,0.6048780487804878,0.9594202898550724,0.6946778711484594,124,28,662,81,205,152,895
20,80% Confidence,0.6131,0.8335195530726257,0.9117647058823529,0.3024390243902439,0.991304347826087,0.45421245421245426,62,6,684,143,205,68,895
