Epoch,Time_Hours,Ground_Truth,YASA_Raw,YASA_Mapped,Correct,YASA_Confidence
212,1.7666666666666666,Deep,N2,Light,0,0.7549561423071707
213,1.775,Deep,N2,Light,0,0.703132070347397
214,1.7833333333333334,Deep,N2,Light,0,0.8503934694128445
215,1.7916666666666667,Deep,N2,Light,0,0.8707842571238138
216,1.8,Deep,N2,Light,0,0.9035636779894756
217,1.8083333333333333,Deep,N2,Light,0,0.8744990627952695
218,1.8166666666666667,Deep,N2,Light,0,0.850560244868209
219,1.825,Deep,N2,Light,0,0.8203679289062005
220,1.8333333333333333,Deep,N2,Light,0,0.853942959097815
221,1.8416666666666666,Deep,N2,Light,0,0.8909061786669528
222,1.85,Deep,N2,Light,0,0.8663134648236297
223,1.8583333333333334,Deep,N2,Light,0,0.8787543426717498
224,1.8666666666666667,Deep,N2,Light,0,0.8722977966808987
225,1.875,Deep,N2,Light,0,0.8857995524196457
226,1.8833333333333333,Deep,N2,Light,0,0.858277054610044
227,1.8916666666666666,Deep,N2,Light,0,0.8500320365759305
228,1.9,Deep,N2,Light,0,0.8828527326285438
229,1.9083333333333334,Deep,N2,Light,0,0.8639238201565241
230,1.9166666666666667,Deep,N2,Light,0,0.7700719883089506
231,1.925,Deep,N2,Light,0,0.8790436917352284
232,1.9333333333333333,Deep,N2,Light,0,0.8527429865920099
233,1.9416666666666667,Deep,N2,Light,0,0.8328541112510905
234,1.95,Deep,N2,Light,0,0.8649317931444375
235,1.9583333333333333,Deep,N2,Light,0,0.9035702338459062
236,1.9666666666666666,Deep,N2,Light,0,0.9361109813198445
237,1.975,Deep,N2,Light,0,0.9003538445383183
238,1.9833333333333334,Deep,N2,Light,0,0.894046103709324
239,1.9916666666666667,Deep,N2,Light,0,0.8534404764613457
240,2.0,Deep,N2,Light,0,0.9030179624110506
241,2.0083333333333333,Deep,N2,Light,0,0.8205626120287365
242,2.0166666666666666,Deep,N2,Light,0,0.8731319901379035
243,2.025,Deep,N2,Light,0,0.8457455873428574
244,2.033333333333333,Deep,N2,Light,0,0.8411102356328122
245,2.0416666666666665,Deep,N2,Light,0,0.8391277963847574
246,2.05,Deep,N2,Light,0,0.8586679886423358
247,2.058333333333333,Deep,N2,Light,0,0.7849225337539866
248,2.066666666666667,Deep,N2,Light,0,0.7389510094377089
249,2.075,Deep,N2,Light,0,0.7141257507776501
250,2.0833333333333335,Deep,N2,Light,0,0.6064288437977738
251,2.091666666666667,Deep,N2,Light,0,0.6551337549378187
252,2.1,Deep,N2,Light,0,0.6350141493670124
253,2.1083333333333334,Deep,N2,Light,0,0.889482770699397
254,2.1166666666666667,Deep,N2,Light,0,0.6335609999506169
255,2.125,Deep,N2,Light,0,0.6399823055340035
256,2.1333333333333333,Deep,N2,Light,0,0.7707408749555493
257,2.1416666666666666,Deep,N2,Light,0,0.6391815454244236
258,2.15,Deep,N2,Light,0,0.7339922413338328
259,2.158333333333333,Deep,N2,Light,0,0.603401550378384
260,2.1666666666666665,Deep,N3,Deep,1,0.6335921284347685
261,2.175,Deep,N3,Deep,1,0.5425923463694413
262,2.183333333333333,Deep,N3,Deep,1,0.5268440254321761
263,2.191666666666667,Deep,N2,Light,0,0.5992997615696292
264,2.2,Deep,N2,Light,0,0.6077875487026193
265,2.2083333333333335,Deep,N2,Light,0,0.6499656712757728
266,2.216666666666667,Deep,N2,Light,0,0.661608859797272
267,2.225,Light,N2,Light,1,0.7557487965258602
